reaction_id,gene_id
r_0625,YER019W
r_0626,YER019W
r_0627,YER019W
r_0628,YER019W
r_0629,YER019W
r_0630,YER019W
r_0631,YER019W
r_0632,YER019W
r_0633,YER019W
r_0634,YER019W
r_0635,YER019W
r_0636,YER019W
r_0637,YER019W
r_0638,YER019W
r_0639,YER019W
r_0640,YER019W
r_0641,YER019W
r_0642,YER019W
r_0643,YER019W
r_0644,YER019W
r_0645,YER019W
r_0646,YER019W
r_0647,YER019W
r_0648,YER019W
r_0649,YER019W
r_0650,YER019W
r_0651,YER019W
r_0652,YER019W
r_0653,YER019W
r_0654,YER019W
r_0655,YER019W
r_0656,YOR126C
r_0657,YOR126C
r_0658,YNL037C
r_0658,YOR136W
r_0659,YLR174W
r_0661,YNL009W
r_0662,YER065C
r_0663,YJR148W
r_0664,YHR208W
r_0665,YBL076C
r_0666,YPL040C
r_0667,YPL117C
r_0668,YOR142W
r_0668,YGR244C
r_0669,YLR355C
r_0670,YLR231C
r_0671,YBL098W
r_0672,YHR037W
r_0673,YHR037W
r_0674,YLR089C
r_0675,YEL046C
r_0676,YMR226C
r_0678,YBR115C
r_0678,YGL154C
r_0679,YDR321W
r_0680,YLR155C
r_0680,YLR160C
r_0680,YLR157C
r_0680,YLR158C
r_0681,YLR027C
r_0682,YKL106W
r_0683,YLR027C
r_0687,YER023W
r_0688,YHR104W
r_0688,YOL151W
r_0689,YCL064C
r_0690,YMR226C
r_0691,YJR159W
r_0692,YCL064C
r_0693,YER086W
r_0694,YJR078W
r_0695,YDR403W
r_0696,YOL151W
r_0697,YML004C
r_0698,YHR072W
r_0699,YJR148W
r_0700,YHR208W
r_0701,YPL160W
r_0702,YLR382C
r_0703,YNL045W
r_0704,YNL045W
r_0705,YNL045W
r_0706,YNL045W
r_0707,YNL045W
r_0708,YNL045W
r_0711,YDR037W
r_0712,YNL073W
r_0713,YKL085W
r_0714,YOL126C
r_0715,YDL078C
r_0716,YNL117W
r_0716,YIR031C
r_0717,YNL117W
r_0718,YKL029C
r_0719,YKL029C
r_0721,YOR221C
r_0721,YKL192C
r_0722,YDL055C
r_0723,YER003C
r_0724,YBR084W
r_0725,YGR204W
r_0726,YLR180W
r_0726,YDR502C
r_0727,YER091C
r_0728,YBL013W
r_0729,YGR264C
r_0730,YGR171C
r_0731,YKR080W
r_0732,YGR204W
r_0733,YBR084W
r_0734,YPR006C
r_0735,YMR208W
r_0736,YMR208W
r_0737,YMR208W
r_0738,YMR208W
r_0739,YNR043W
r_0747,YBR161W
r_0747,YBR036C
r_0747,YPL057C
r_0748,YBR161W
r_0748,YBR036C
r_0748,YPL057C
r_0749,YBR161W
r_0749,YBR036C
r_0749,YPL057C
r_0750,YBR161W
r_0750,YBR036C
r_0750,YPL057C
r_0751,YBR161W
r_0751,YBR036C
r_0751,YPL057C
r_0752,YBR161W
r_0752,YBR036C
r_0752,YPL057C
r_0753,YBR161W
r_0753,YBR036C
r_0753,YPL057C
r_0754,YBR161W
r_0754,YBR036C
r_0754,YPL057C
r_0755,YBR161W
r_0755,YBR036C
r_0755,YPL057C
r_0756,YBR161W
r_0756,YBR036C
r_0756,YPL057C
r_0757,YHR046C
r_0757,YDR287W
r_0758,YJL153C
r_0759,YER069W
r_0760,YFL017C
r_0761,YMR062C
r_0761,YJL071W
r_0762,YDR428C
r_0763,YDR403W
r_0763,YDR402C
r_0764,YGL067W
r_0765,YEL041W
r_0765,YJR049C
r_0766,YPL188W
r_0766,YEL041W
r_0766,YJR049C
r_0767,YDR191W
r_0767,YOR025W
r_0767,YOL068C
r_0767,YPL015C
r_0767,YDL042C
r_0768,YHR074W
r_0769,YHR074W
r_0770,YDL085W
r_0770,YMR145C
r_0771,YEL041W
r_0771,YJR049C
r_0772,YPL188W
r_0772,YEL041W
r_0772,YJR049C
r_0773,YML120C
r_0774,YOR209C
r_0775,YOR209C
r_0781,YGL037C
r_0782,YLR285W
r_0783,YLR328W
r_0783,YCL047C
r_0784,YGR010W
r_0784,YLR328W
r_0785,YGR010W
r_0785,YLR328W
r_0786,YFR047C
r_0787,YFR047C
r_0788,YER005W
r_0789,YER005W
r_0790,YER005W
r_0791,YEL042W
r_0792,YER005W
r_0793,YER005W
r_0795,YKL067W
r_0796,YKL067W
r_0797,YKL067W
r_0798,YKL067W
r_0799,YKL067W
r_0800,YKL067W
r_0801,YKL067W
r_0802,YKL067W
r_0803,YKL067W
r_0804,YLL001W
r_0804,YER005W
r_0804,YAL035W
r_0805,YER005W
r_0806,YER005W
r_0807,YER005W
r_0810,YEL042W
