reaction ID,flagged by,problems found,changes made,Human-GEM GitHub pull request number
MAR07647,none,wrong metabolites,metabolites edited,670
MAR07704,none,wrong metabolites,metabolites edited,670
MAR07706,none,wrong metabolites,metabolites edited,670
MAR08017,none,wrong metabolites,metabolites edited,670
MAR08021,none,wrong metabolites,metabolites edited,670
MAR08415,none,wrong metabolites,metabolites edited,670
MAR08689,none,wrong metabolites,metabolites edited,670
MAR08690,none,wrong metabolites,metabolites edited,670
MAR08755,none,wrong metabolites,metabolites edited,670
MAR11529,none,wrong metabolites,metabolites edited,670
MAR11534,none,wrong metabolites,metabolites edited,670
MAR11539,none,wrong metabolites,metabolites edited,670
MAR12372,none,wrong metabolites,metabolites edited,670
MAR12808,none,wrong metabolites,metabolites edited,670
MAR00024,dead-end,not real,removed,678
MAR00026,dead-end,not real,removed,678
MAR00027,dead-end,not real,removed,678
MAR00028,dead-end,not real,removed,678
MAR00029,none,not real,removed,678
MAR05173,dead-end,not real,removed,678
MAR05289,dead-end,not real,removed,678
MAR13064,none,not real,removed,678
MAR01483,"dilution, duplicate",duplicate,removed,679
MAR06406,"dilution, duplicate",duplicate,removed,679
MAR09608,"dilution, duplicate",duplicate,"duplicate removed, connected",679
MAR06400,dilution,not real,removed,682
MAR06401,dilution,not real,removed,682
MAR01088,dilution,wrong GPR,GPR edited,683
MAR01091,dilution,wrong GPR,GPR edited,683
MAR06398,dilution,not real,removed,683
MAR06399,dilution,not real,removed,683
MAR06408,dead-end,dead-end,removed,683
MAR06412,dilution,cofactor disconnected from biosynthesis pathway,connected to biosynthesis pathway,683
MAR06414,dilution,cofactor disconnected from biosynthesis pathway,connected to biosynthesis pathway,683
MAR06415,dilution,cofactor disconnected from biosynthesis pathway,connected to biosynthesis pathway,683
MAR06422,dilution,cofactor disconnected from biosynthesis pathway,connected to biosynthesis pathway,683
MAR08433,dilution,cofactor disconnected from biosynthesis pathway,connected to biosynthesis pathway,683
MAR08434,dilution,cofactor disconnected from biosynthesis pathway,connected to biosynthesis pathway,683
MAR08746,dead-end,dead-end,was connected,683
MAR11346,dilution,"wrong metabolites, wrong reversibility, dead-end","metabolites edited, made reversible, was connected",683
MAR11361,none,"wrong metabolites, wrong reversibility","metabolites edited, made reversible",683
MAR20069,dilution,cofactor disconnected from biosynthesis pathway,connected to biosynthesis pathway,683
MAR04209,dilution,"cofactor disconnected from biosynthesis pathway, wrong GPR","connected to biosynthesis pathway, GPR edited","683, 725"
MAR06413,dilution,"cofactor disconnected from biosynthesis pathway, wrong GPR, duplicate","connected to biosynthesis pathway, GPR edited","683, 725"
MAR06409,dilution,cofactor disconnected from biosynthesis pathway,connected to biosynthesis pathway,"683, 725, 743"
MAR04599,dilution,"cofactor disconnected from biosynthesis pathway, wrong GPR, duplicate, wrong metabolites","connected to biosynthesis pathway, GPR edited, metabolites edited","683, 725, 753"
MAR06417,dilution,"cofactor disconnected from biosynthesis pathway, duplicate","connected to biosynthesis pathway, duplicate removed","683, 743"
MAR06420,dilution,"cofactor disconnected from biosynthesis pathway, duplicate","connected to biosynthesis pathway, duplicate removed","683, 743"
MAR06416,dilution,"cofactor disconnected from biosynthesis pathway, duplicate, wrong GPR, wrong metabolites","connected to biosynthesis pathway, duplicate removed, GPR edited, metabolites edited","683, 743, 750, 753"
MAR06419,dilution,"cofactor disconnected from biosynthesis pathway, duplicate, wrong metabolites","connected to biosynthesis pathway, duplicate removed, metabolites edited","683, 743, 750, 753"
MAR06421,dilution,"cofactor disconnected from biosynthesis pathway, wrong GPR, wrong metabolites","connected to biosynthesis pathway, GPR edited, metabolites edited","683, 750, 753"
MAR04843,loop,not real,removed,694
MAR07823,loop,not real,removed,694
MAR07926,loop,not real,removed,694
MAR08301,loop,"wrong GPR, wrong reversibility","GPR edited, made reversible",694
MAR09019,none,not real,removed,694
MAR03473,loop,not real,edited,701
MAR04915,loop,not real,removed,701
MAR07771,loop,not real,removed,701
MAR07775,loop,not real,removed,701
MAR07782,loop,not real,removed,701
MAR07783,loop,not real,removed,701
MAR07785,loop,not real,removed,701
MAR07788,none,not real,removed,701
MAR07790,none,not real,removed,701
MAR04239,none,duplicate,removed,725
MAR03212,duplicate,"duplicate, wrong GPR","duplicate removed, GPR edited",740
MAR03163,duplicate,"duplicate, wrong GPR","duplicates removed, GPR edited","740, 751, 752, 768, 808"
MAR03748,none,duplicate,removed,743
MAR03780,none,duplicate,removed,743
MAR02532,dead-end,not real,removed,750
MAR02534,dead-end,not real,removed,750
MAR06523,dead-end,wrong GPR,GPR edited,750
MAR01009,none,duplicate,removed,751
MAR05449,none,duplicate,removed,751
MAR06279,none,duplicate,removed,751
MAR06283,none,duplicate,removed,751
MAR06329,none,duplicate,removed,751
MAR03151,none,duplicate,duplicate removed,"751, 752"
MAR03153,none,duplicate,duplicate removed,"751, 752"
MAR03158,none,duplicate,duplicates removed,"751, 752, 768"
MAR03160,none,duplicate,duplicates removed,"751, 752, 768"
MAR03166,none,duplicate,duplicates removed,"751, 752, 768"
MAR03885,none,duplicate,duplicates removed,"751, 752, 768"
MAR03164,none,"duplicate, wrong GPR","duplicates removed, GPR edited","751, 752, 768, 808"
MAR03150,none,"duplicate, wrong GPR","duplicate removed, GPR edited","751, 752, 808"
MAR03157,none,"duplicate, wrong GPR","duplicate removed, GPR edited","751, 752, 808"
MAR03294,duplicate,duplicate,duplicate removed,752
MAR03298,none,duplicate,duplicate removed,752
MAR03422,none,duplicate,removed,752
MAR05367,none,duplicate,duplicate removed,752
MAR05373,none,duplicate,duplicate removed,752
MAR04970,duplicate,duplicate,duplicates removed,"752, 788"
MAR03144,none,duplicate,duplicates removed,"752, 789"
MAR03146,none,duplicate,duplicate removed,"752, 789"
MAR03143,none,"duplicate, wrong GPR","duplicates removed, GPR edited","752, 789, 808"
MAR05360,none,"duplicate, duplicate metabolite","duplicate removed, metabolites edited","752, 793"
MAR05378,none,duplicate,duplicates removed,"752, 794"
MAR05380,none,duplicate,duplicates removed,"752, 794"
MAR05383,none,duplicate,duplicates removed,"752, 794"
MAR05404,none,duplicate,duplicates removed,"752, 794"
MAR03800,none,inconsistent,edited to be consistent,753
MAR04774,dilution,"dead-end loop, not real",removed,754
MAR04775,dilution,"dead-end loop, not real",removed,754
MAR03269,dead-end,wrong GPR,GPR edited,760
MAR03380,none,wrong GPR,GPR edited,760
MAR00789,none,not real,removed,768
MAR03426,none,duplicate,removed,768
MAR04978,none,duplicate,duplicate removed,768
MAR04984,none,duplicate,duplicate removed,768
MAR04988,none,duplicate,duplicate removed,768
MAR05001,none,duplicate,duplicate removed,768
MAR05083,none,duplicate,duplicate removed,768
MAR05090,none,duplicate,duplicate removed,768
MAR05177,none,duplicate,duplicate removed,768
MAR05194,none,duplicate,duplicate removed,768
MAR05359,none,duplicate,duplicate removed,768
MAR06281,none,duplicate,duplicate removed,768
MAR06320,none,duplicate,duplicate removed,768
MAR01176,none,wrong GPR,GPR edited,788
MAR01181,none,wrong GPR,GPR edited,788
MAR01218,none,wrong GPR,GPR edited,788
MAR01222,none,wrong GPR,GPR edited,788
MAR01297,none,wrong GPR,GPR edited,788
MAR03296,duplicate,"duplicate, not real",removed,788
MAR03322,duplicate,"duplicate, not real",removed,788
MAR03446,dead-end,wrong GPR,GPR edited,788
MAR03461,dead-end,wrong GPR,GPR edited,788
MAR03471,dead-end,wrong GPR,GPR edited,788
MAR04005,dead-end,not real,removed,788
MAR04974,duplicate,duplicate,duplicate removed,788
MAR03457,none,"duplicate, wrong GPR","duplicates removed, GPR edited","788, 793"
MAR04967,none,duplicate,removed,789
MAR05019,none,duplicate,removed,789
MAR05024,none,duplicate,removed,789
MAR03288,none,duplicate,duplicate removed,"790, 793"
MAR03386,none,"duplicate, wrong GPR","duplicate removed, GPR edited",792
MAR05186,duplicate,not real,removed,792
MAR05187,duplicate,duplicate,removed,792
MAR03486,none,"duplicate, wrong GPR, wrong metabolites","duplicate removed, GPR edited, metabolites edited","792, 805"
MAR03275,none,duplicate,duplicate removed,793
MAR03278,none,duplicate,duplicate removed,793
MAR03279,none,duplicate,duplicate removed,793
MAR03280,none,duplicate,duplicate removed,793
MAR03282,none,duplicate,duplicate removed,793
MAR03283,none,duplicate,duplicate removed,793
MAR03284,duplicate,duplicate,duplicate removed,793
MAR03286,none,duplicate,duplicate removed,793
MAR03287,none,duplicate,duplicate removed,793
MAR03292,none,duplicate,duplicate removed,793
MAR03293,none,duplicate,duplicate removed,793
MAR03452,none,duplicate,duplicate removed,793
MAR03454,none,duplicate,duplicate removed,793
MAR03455,none,duplicate,duplicate removed,793
MAR03456,none,duplicate,duplicate removed,793
MAR03458,none,duplicate,duplicate removed,793
MAR05072,none,duplicate,removed,793
MAR05075,none,duplicate,removed,793
MAR05123,none,duplicate,removed,793
MAR05191,none,duplicate,removed,793
MAR05195,none,duplicate,removed,793
MAR05208,none,duplicate,removed,793
MAR05229,none,duplicate,removed,793
MAR05302,none,duplicate,removed,793
MAR05356,none,duplicate,removed,793
MAR05358,none,duplicate,removed,793
MAR03277,none,"duplicate, wrong GPR","duplicates removed, GPR edited","793, 808"
MAR03281,none,"duplicate, wrong GPR","duplicates removed, GPR edited","793, 808"
MAR03285,none,"duplicate, wrong GPR","duplicates removed, GPR edited","793, 808"
MAR03290,none,"duplicate, wrong GPR","duplicates removed, GPR edited","793, 808"
MAR03453,none,"duplicate, wrong GPR","duplicates removed, GPR edited","793, 808"
MAR00965,none,duplicate,removed,794
MAR00970,none,wrong GPR,GPR edited,794
MAR03481,loop,wrong metabolites,metabolites edited,805
MAR06779,none,wrong metabolites,metabolites edited,805
MAR01163,none,wrong GPR,GPR edited,808
MAR01177,none,wrong GPR,GPR edited,808
MAR01182,none,wrong GPR,GPR edited,808
MAR01206,none,wrong GPR,GPR edited,808
MAR01219,none,wrong GPR,GPR edited,808
MAR01224,none,wrong GPR,GPR edited,808
MAR01255,none,wrong GPR,GPR edited,808
MAR01272,none,wrong GPR,GPR edited,808
MAR03108,none,wrong GPR,GPR edited,808
MAR03112,none,wrong GPR,GPR edited,808
MAR03116,none,wrong GPR,GPR edited,808
MAR03129,none,wrong GPR,GPR edited,808
MAR03171,none,wrong GPR,GPR edited,808
MAR03175,none,wrong GPR,GPR edited,808
MAR03179,none,wrong GPR,GPR edited,808
MAR03183,none,wrong GPR,GPR edited,808
MAR03187,none,wrong GPR,GPR edited,808
MAR03191,none,wrong GPR,GPR edited,808
MAR03195,none,wrong GPR,GPR edited,808
MAR03199,none,wrong GPR,GPR edited,808
MAR03203,none,wrong GPR,GPR edited,808
MAR03219,none,wrong GPR,GPR edited,808
MAR03223,none,wrong GPR,GPR edited,808
MAR03227,none,wrong GPR,GPR edited,808
MAR03231,none,wrong GPR,GPR edited,808
MAR03235,none,wrong GPR,GPR edited,808
MAR03241,none,wrong GPR,GPR edited,808
MAR03245,none,wrong GPR,GPR edited,808
MAR03252,none,wrong GPR,GPR edited,808
MAR03260,none,wrong GPR,GPR edited,808
MAR03449,dead-end,wrong GPR,GPR edited,808
MAR03523,none,wrong GPR,GPR edited,808
MAR03528,none,wrong GPR,GPR edited,808
MAR03532,none,wrong GPR,GPR edited,808
MAR03753,none,wrong GPR,GPR edited,808
MAR03785,none,wrong GPR,GPR edited,808
MAR04735,none,wrong GPR,GPR edited,808
MAR01788,loop,not real,removed,815
MAR01789,none,not real,removed,815
MAR04205,none,not real,removed,815
MAR08745,loop,not real,removed,815
MAR08747,none,not real,removed,815
