reaction ID,flagged by,problems found,changes made,Human-GEM GitHub pull request number
MAR03388,dead-end,"wrong metabolites, wrong reversibility","metabolites edited, made irreversible","648, 805"
MAR03390,dead-end,"wrong metabolites, wrong reversibility","metabolites edited, made irreversible","648, 805"
MAR05310,"duplicate, loop",duplicate,removed,655
MAR06380,"duplicate, loop","duplicate, wrong reversibility, wrong GPR","duplicate removed, made reversible, GPR edited",655
MAR09887,"duplicate, loop",not real,removed,655
MAR00025,"dilution, duplicate, loop","duplicate, dead-end, not real",removed,657
MAR00030,"dilution, duplicate, loop","duplicate, dead-end, not real",removed,657
MAR02358,"duplicate, loop",duplicate,removed,657
MAR03931,loop,wrong GPR,GPR edited,657
MAR04521,duplicate,duplicate,duplicate removed,657
MAR06631,"duplicate, loop",duplicate,duplicate removed,657
MAR08482,"duplicate, loop","duplicate, wrong GPR, wrong reversibility","duplicate removed, GPR edited, made reversible",657
MAR20002,"duplicate, loop",duplicate,removed,657
MAR20020,duplicate,duplicate,removed,657
MAR20066,duplicate,duplicate,removed,657
MAR03984,duplicate,"wrong metabolites, duplicate","metabolites edited, duplicate removed","657, 670"
MAR00031,"duplicate, loop",duplicate,duplicate removed,658
MAR00032,"duplicate, loop","duplicate, not real",removed,658
MAR01458,none,not real,removed,669
MAR01630,none,not real,removed,669
MAR01635,none,not real,removed,669
MAR01637,none,not real,removed,669
MAR01644,none,not real,removed,669
MAR01651,none,not real,removed,669
MAR01653,none,not real,removed,669
MAR01656,none,not real,removed,669
MAR01662,none,not real,removed,669
MAR03754,dead-end,"dead-end, not real",removed,669
MAR03760,dead-end,"dead-end, not real",removed,669
MAR07758,none,not real,removed,669
MAR00059,none,"duplicate, not real",removed,670
MAR00442,dead-end,wrong metabolites,metabolites edited,670
MAR00759,none,wrong metabolites,metabolites edited,670
MAR00777,none,wrong metabolites,metabolites edited,670
MAR00800,dead-end,wrong metabolites,metabolites edited,670
MAR00833,none,wrong metabolites,metabolites edited,670
MAR00872,none,wrong metabolites,metabolites edited,670
MAR00952,none,wrong metabolites,metabolites edited,670
MAR00968,none,wrong metabolites,metabolites edited,670
MAR00974,none,wrong metabolites,metabolites edited,670
MAR00975,none,wrong metabolites,metabolites edited,670
MAR00977,none,wrong metabolites,metabolites edited,670
MAR00978,none,wrong metabolites,metabolites edited,670
MAR00982,none,wrong metabolites,metabolites edited,670
MAR01001,none,wrong metabolites,metabolites edited,670
MAR01005,none,wrong metabolites,metabolites edited,670
MAR01018,none,wrong metabolites,metabolites edited,670
MAR01162,none,wrong metabolites,metabolites edited,670
MAR01205,none,wrong metabolites,metabolites edited,670
MAR01254,none,wrong metabolites,metabolites edited,670
MAR01271,none,wrong metabolites,metabolites edited,670
MAR01291,none,wrong metabolites,metabolites edited,670
MAR01296,none,wrong metabolites,metabolites edited,670
MAR01303,none,wrong metabolites,metabolites edited,670
MAR01600,none,wrong metabolites,metabolites edited,670
MAR01638,none,duplicate,duplicate removed,670
MAR01639,none,duplicate,removed,670
MAR01704,none,wrong metabolites,metabolites edited,670
MAR01706,none,"duplicate, wrong GPR",GPR edited,670
MAR02408,none,wrong metabolites,metabolites edited,670
MAR02510,none,wrong metabolites,metabolites edited,670
MAR02804,duplicate,duplicate,duplicate removed,670
MAR02808,duplicate,duplicate,duplicate removed,670
MAR02810,duplicate,duplicate,duplicate removed,670
MAR02818,duplicate,duplicate,duplicate removed,670
MAR03053,none,wrong metabolites,metabolites edited,670
MAR03054,none,wrong metabolites,metabolites edited,670
MAR03055,none,wrong metabolites,metabolites edited,670
MAR03056,none,wrong metabolites,metabolites edited,670
MAR03057,none,wrong metabolites,metabolites edited,670
MAR03062,none,wrong metabolites,metabolites edited,670
MAR03066,none,wrong metabolites,metabolites edited,670
MAR03070,none,wrong metabolites,metabolites edited,670
MAR03074,none,wrong metabolites,metabolites edited,670
MAR03078,none,wrong metabolites,metabolites edited,670
MAR03082,none,wrong metabolites,metabolites edited,670
MAR03086,none,wrong metabolites,metabolites edited,670
MAR03090,none,wrong metabolites,metabolites edited,670
MAR03094,none,wrong metabolites,metabolites edited,670
MAR03098,none,wrong metabolites,metabolites edited,670
MAR03102,none,wrong metabolites,metabolites edited,670
MAR03276,duplicate,duplicate,duplicate removed,670
MAR03289,duplicate,duplicate,duplicate removed,670
MAR03301,duplicate,duplicate,removed,670
MAR03306,duplicate,duplicate,removed,670
MAR03311,duplicate,duplicate,removed,670
MAR03326,none,wrong metabolites,metabolites edited,670
MAR03330,none,wrong metabolites,metabolites edited,670
MAR03334,none,wrong metabolites,metabolites edited,670
MAR03338,none,wrong metabolites,metabolites edited,670
MAR03342,none,wrong metabolites,metabolites edited,670
MAR03346,none,wrong metabolites,metabolites edited,670
MAR03350,none,wrong metabolites,metabolites edited,670
MAR03356,none,wrong metabolites,metabolites edited,670
MAR03360,none,wrong metabolites,metabolites edited,670
MAR03364,duplicate,duplicate,removed,670
MAR03369,duplicate,duplicate,removed,670
MAR03459,dead-end,wrong metabolites,metabolites edited,670
MAR03466,dead-end,wrong metabolites,metabolites edited,670
MAR03470,dead-end,wrong metabolites,metabolites edited,670
MAR03498,none,wrong metabolites,metabolites edited,670
MAR03506,none,wrong metabolites,metabolites edited,670
MAR03512,none,wrong metabolites,metabolites edited,670
MAR03849,none,wrong metabolites,metabolites edited,670
MAR04001,none,wrong metabolites,metabolites edited,670
MAR04650,none,wrong metabolites,metabolites edited,670
MAR04789,none,wrong metabolites,metabolites edited,670
MAR04966,duplicate,duplicate,removed,670
MAR04981,none,wrong metabolites,metabolites edited,670
MAR05025,none,wrong metabolites,metabolites edited,670
MAR05026,none,wrong metabolites,metabolites edited,670
MAR05028,none,wrong metabolites,metabolites edited,670
MAR05097,none,wrong metabolites,metabolites edited,670
MAR05100,none,wrong metabolites,metabolites edited,670
MAR05108,none,wrong metabolites,metabolites edited,670
MAR05119,none,wrong metabolites,metabolites edited,670
MAR05175,none,wrong metabolites,metabolites edited,670
MAR05178,none,wrong metabolites,metabolites edited,670
MAR05180,none,wrong metabolites,metabolites edited,670
MAR05182,none,wrong metabolites,metabolites edited,670
MAR05184,none,wrong metabolites,metabolites edited,670
MAR05189,none,wrong metabolites,metabolites edited,670
MAR05196,none,wrong metabolites,metabolites edited,670
MAR05300,none,wrong metabolites,metabolites edited,670
MAR05327,none,wrong metabolites,metabolites edited,670
MAR05331,none,wrong metabolites,metabolites edited,670
MAR05350,none,wrong metabolites,metabolites edited,670
MAR05366,none,wrong metabolites,metabolites edited,670
MAR05372,none,wrong metabolites,metabolites edited,670
MAR05374,none,wrong metabolites,metabolites edited,670
MAR05377,none,wrong metabolites,metabolites edited,670
MAR05382,none,wrong metabolites,metabolites edited,670
MAR05421,none,wrong metabolites,metabolites edited,670
MAR05428,none,wrong metabolites,metabolites edited,670
MAR05431,none,wrong metabolites,metabolites edited,670
MAR06284,none,wrong metabolites,metabolites edited,670
MAR06285,none,wrong metabolites,metabolites edited,670
MAR06322,none,wrong metabolites,metabolites edited,670
MAR06344,none,wrong metabolites,metabolites edited,670
MAR06345,none,wrong metabolites,metabolites edited,670
MAR06933,dead-end,wrong metabolites,metabolites edited,670
MAR06936,dead-end,wrong metabolites,metabolites edited,670
MAR06943,dead-end,wrong metabolites,metabolites edited,670
MAR06946,dead-end,wrong metabolites,metabolites edited,670
MAR06949,dead-end,wrong metabolites,metabolites edited,670
MAR06952,dead-end,wrong metabolites,metabolites edited,670
MAR06959,dead-end,wrong metabolites,metabolites edited,670
MAR06962,dead-end,wrong metabolites,metabolites edited,670
MAR06964,dead-end,wrong metabolites,metabolites edited,670
MAR07641,none,wrong metabolites,metabolites edited,670
