model,all_rxns,flagged,dead-ends,dilution-blocked,duplicates,loops,redoxes
PPU_RA1.xml,1455,1342,758,584,119,584,7
LPL_RA4.mat,986,881,528,353,92,353,6
PPU_RA9.xml,1428,1366,1050,307,207,307,6
PPU_AU1.sbml,771,574,518,40,32,45,7
PPU_ME1.xml,850,827,619,208,4,208,0
PPU_MD2.xml,1655,1451,1078,362,99,367,8
PPU_RA12.xml,1268,1148,651,497,79,497,7
LPL_RA6.mat,957,851,519,332,72,332,5
PPU_MD1.xml,778,593,522,43,34,61,7
LPL_PT3.xml,816,697,611,84,27,84,7
