reaction_id,gene_id
MAR04082,93034
MAR04082,55
MAR04082,57786
MAR04082,22978
MAR04082,115024
MAR04082,56953
MAR04082,51251
MAR04082,4907
MAR04082,84618
MAR04012,1633
MAR04012,132
MAR04014,5144
MAR04014,5145
MAR04014,5136
MAR04014,8654
MAR04014,5151
MAR04014,"['10846', '90632']"
MAR04014,27115
MAR04014,50940
MAR04014,5143
MAR04014,5153
MAR04014,5137
MAR04014,5148
MAR04014,5139
MAR04014,5158
MAR04014,5142
MAR04014,5138
MAR04014,8622
MAR04014,5141
MAR04014,5140
MAR04014,5146
MAR04014,5152
MAR04014,5150
MAR04014,5149
MAR04020,2987
MAR04022,2977
MAR04022,2982
MAR04022,4881
MAR04022,196883
MAR04022,2986
MAR04022,112
MAR04022,2984
MAR04022,55811
MAR04022,4882
MAR04022,114
MAR04022,3000
MAR04022,111
MAR04022,115
MAR04022,107
MAR04022,113
MAR04022,109
MAR04022,108
MAR04022,2983
MAR04038,471
MAR04040,3615
MAR04040,3614
MAR04042,159
MAR04042,122622
MAR04046,8833
MAR04048,5144
MAR04048,5145
MAR04048,5136
MAR04048,8654
MAR04048,5151
MAR04048,"['10846', '90632']"
MAR04048,27115
MAR04048,50940
MAR04048,5143
MAR04048,5153
MAR04048,5137
MAR04048,5148
MAR04048,5139
MAR04048,5158
MAR04048,5142
MAR04048,5138
MAR04048,8622
MAR04048,5141
MAR04048,5140
MAR04048,5146
MAR04048,5152
MAR04048,5150
MAR04048,5149
MAR04080,272
MAR04080,271
MAR04080,270
MAR04085,353
MAR04086,353
MAR04134,954
MAR04134,377841
MAR04134,124583
MAR04134,956
MAR04134,953
MAR04134,955
MAR04134,9583
MAR04134,957
MAR04135,2987
MAR04168,3704
MAR04171,5315
MAR04171,5313
MAR04290,377841
MAR04290,953
MAR04290,956
MAR04406,5471
MAR04412,158
MAR04412,23112
MAR04417,30833
MAR04417,93034
MAR04417,55
MAR04417,57786
MAR04417,22978
MAR04417,115024
MAR04417,56953
MAR04417,51251
MAR04417,4907
MAR04417,84618
MAR04418,3251
MAR04419,51292
MAR04419,2766
MAR04421,5315
MAR04421,5313
MAR04449,30833
MAR04449,93034
MAR04449,55
MAR04449,57786
MAR04449,22978
MAR04449,115024
MAR04449,56953
MAR04449,51251
MAR04449,4907
MAR04449,84618
MAR04450,30833
MAR04450,93034
MAR04450,55
MAR04450,57786
MAR04450,22978
MAR04450,115024
MAR04450,56953
MAR04450,51251
MAR04450,4907
MAR04450,84618
MAR04452,3251
MAR04453,8833
MAR04480,26289
MAR04480,203
MAR04480,37
MAR04480,102157402
MAR04480,204
MAR04480,8310
MAR04480,158067
MAR04480,27034
MAR04480,221264
MAR04480,50808
MAR04480,34
MAR04480,205
MAR04480,28976
MAR04480,122481
MAR04481,51816
MAR04481,100
MAR04482,51816
MAR04482,100
MAR04486,3099
MAR04486,80201
MAR04486,3101
MAR04486,3098
MAR04487,3099
MAR04487,80201
MAR04487,3101
MAR04487,3098
MAR04488,3099
MAR04488,80201
MAR04488,3101
MAR04488,3098
MAR04489,3099
MAR04489,80201
MAR04489,3101
MAR04489,3098
MAR04492,3099
MAR04492,80201
MAR04492,3101
MAR04492,3098
MAR04493,3099
MAR04493,80201
MAR04493,3101
MAR04493,3098
MAR04495,3099
MAR04495,80201
MAR04495,3101
MAR04495,3098
MAR04496,3099
MAR04496,80201
MAR04496,3101
MAR04496,3098
MAR04518,9615
MAR04519,7498
MAR04520,7498
MAR04573,5315
MAR04573,5313
MAR04574,4860
MAR04600,1716
MAR04602,30833
MAR04602,93034
MAR04602,55
MAR04602,57786
MAR04602,22978
MAR04602,115024
MAR04602,56953
MAR04602,51251
MAR04602,4907
MAR04602,84618
MAR04603,4860
MAR04611,6240
MAR04611,25828
MAR04611,6241
MAR04611,50484
MAR04611,7295
MAR04612,6240
MAR04612,25828
MAR04612,6241
MAR04612,50484
MAR04612,7295
MAR04614,6240
MAR04614,25828
MAR04614,6241
MAR04614,50484
MAR04614,7295
MAR04615,6240
MAR04615,25828
MAR04615,6241
MAR04615,50484
MAR04615,7295
MAR04617,6240
MAR04617,25828
MAR04617,6241
MAR04617,50484
MAR04617,7295
MAR04618,6240
MAR04618,25828
MAR04618,6241
MAR04618,50484
MAR04618,7295
MAR04619,6240
MAR04619,25828
MAR04619,6241
MAR04619,50484
MAR04619,7295
MAR04621,6240
MAR04621,25828
MAR04621,6241
MAR04621,50484
MAR04621,7295
MAR04632,30833
MAR04632,93034
MAR04632,55
MAR04632,57786
MAR04632,22978
