source,target
BIOMASS_Ec_iML1515_core_75p37M,BTNt2ipp
BIOMASS_Ec_iML1515_core_75p37M,COBALT2abcpp
BIOMASS_Ec_iML1515_core_75p37M,S2FE2ST
BIOMASS_Ec_iML1515_core_75p37M,K2L4Aabctex
BIOMASS_Ec_iML1515_core_75p37M,COBALT2tpp
BIOMASS_Ec_iML1515_core_75p37M,COBALT2t3pp
BIOMASS_Ec_iML1515_core_75p37M,MN2tipp
BIOMASS_Ec_iML1515_core_75p37M,CA2t3pp
BIOMASS_Ec_iML1515_core_75p37M,CLt3_2pp
BIOMASS_Ec_iML1515_core_75p37M,NI2abcpp
BIOMASS_Ec_iML1515_core_75p37M,SULabcpp
BIOMASS_Ec_iML1515_core_75p37M,CU2tpp
BIOMASS_Ec_iML1515_core_75p37M,ZN2t3pp
BIOMASS_Ec_iML1515_core_75p37M,MN2tpp
BIOMASS_Ec_iML1515_core_75p37M,NI2t3pp
BIOMASS_Ec_iML1515_core_75p37M,BMOCOS
BIOMASS_Ec_iML1515_core_75p37M,MNt2pp
BIOMASS_Ec_iML1515_core_75p37M,BTS5
BIOMASS_Ec_iML1515_core_75p37M,I2FE2ST
BIOMASS_Ec_iML1515_core_75p37M,ZNabcpp
BIOMASS_Ec_iML1515_core_75p37M,PYDXK
BIOMASS_Ec_iML1515_core_75p37M,CAt6pp
BIOMASS_Ec_iML1515_core_75p37M,HEMEOS
BIOMASS_Ec_iML1515_core_75p37M,FCLT
BIOMASS_Ec_iML1515_core_75p37M,BSORx
BIOMASS_Ec_iML1515_core_75p37M,MN2t3pp
BIOMASS_Ec_iML1515_core_75p37M,SHCHF
BIOMASS_Ec_iML1515_core_75p37M,PDX5POi
BIOMASS_Ec_iML1515_core_75p37M,ZN2abcpp
BIOMASS_Ec_iML1515_core_75p37M,PDX5PO2
BIOMASS_Ec_iML1515_core_75p37M,CLtipp
BIOMASS_Ec_iML1515_core_75p37M,BIOMASS_Ec_iML1515_WT_75p37M
BIOMASS_Ec_iML1515_core_75p37M,SADT2
EX_mso3_e,MSO3tex
NO3R1pp,NODOy
NO3R1pp,NO3R2pp
NO3R1pp,NTRIR2x
NO3R1pp,NO3t7pp
NO3R1pp,NODOx
NO3R1pp,NO2t2rpp
DHBSZ3FEabcpp,FEENTERES
DHBSZ3FEabcpp,FE3DHBZS3R
CMtex,CMtpp
CYNTt2pp,CYNTAH
CYNTt2pp,CYNTtex
RNTR1c2,FLDR2
RNTR1c2,POR5
RNTR1c2,RNTR2c2
RNTR1c2,RNTR4c2
RNTR1c2,RNTR3c2
CAt6pp,BIOMASS_Ec_iML1515_WT_75p37M
CAt6pp,CA2t3pp
PSCLYStex,EX_psclys_e
PSCLYStex,PSCLYSt2pp
MNLtex,EX_mnl_e
MNLtex,MNLptspp
BWCOGDS2,BWCOGDS1
OP4ENH,HOPNTAL
OP4ENH,HKNDDH
OP4ENH,HKNTDH
FDMO3,FDMO4
FDMO3,ETHSO3abcpp
FDMO3,SULR
FDMO3,FDMO6
FDMO3,PAPSR
FDMO3,CYANST
FDMO3,FDMO
FDMO3,PAPSR2
FDMO3,TAUDO
FDMO3,FDMO2
EX_ttdcea_e,TTDCEAtexi
ACGAM1PPpp,UACGAMPpp
ACGAM1PPpp,ACGAptspp
ACGAM1PPpp,ACGAM1Ptex
ACGAM1PPpp,ACGAtex
FACOAE80,FA80ACPHi
FACOAE80,AACPS9
FACOAE80,OCTNLL
RIBabcpp,RIBtex
RIBabcpp,R5PPpp
SBTptspp,SBTtex
SBTptspp,SBTPD
DM_amob_c,AMAOTr
ACPPAT180,AACPS2
ACPPAT180,G3PAT140
ACPPAT180,3OAS80
ACPPAT180,FA140ACPHi
ACPPAT180,AGPAT161
ACPPAT180,AGPAT141
ACPPAT180,FA120ACPHi
ACPPAT180,EAR180y
ACPPAT180,AACPS6
ACPPAT180,AGPAT160
ACPPAT180,3OAS100
ACPPAT180,AGPAT120
ACPPAT180,3OAS181
ACPPAT180,EDTXS3
