source,target
rxn03422_c0,rxn01418_c0
rxn03422_c0,rxn10122_c0
rxn03422_c0,rxn39451_c0
rxn03422_c0,rxn00611_c0
rxn03422_c0,rxn10663_c0
rxn03422_c0,rxn00781_c0
rxn03422_c0,rxn00248_c0
rxn03422_c0,rxn00992_c0
rxn03422_c0,rxn03951_c0
rxn05744_c0,rxn05339_c0
rxn05744_c0,rxn05736_c0
rxn05744_c0,rxn00679_c0
rxn05744_c0,rxn05426_c0
rxn05744_c0,rxn00943_c0
rxn05744_c0,rxn01643_c0
rxn05744_c0,rxn05336_c0
rxn05744_c0,rxn10163_c0
rxn05744_c0,rxn00601_c0
rxn05744_c0,rxn03958_c0
rxn05744_c0,rxn05368_c0
rxn05744_c0,bio1_biomass
rxn05744_c0,rxn01418_c0
rxn05744_c0,rxn01150_c0
rxn05744_c0,rxn05430_c0
rxn05744_c0,rxn02465_c0
rxn05744_c0,rxn05410_c0
rxn05744_c0,rxn10663_c0
rxn05744_c0,rxn00184_c0
rxn05744_c0,rxn00612_c0
rxn05744_c0,rxn39452_c0
rxn05744_c0,rxn05389_c0
rxn05744_c0,rxn05337_c0
rxn05744_c0,rxn00623_c0
rxn05744_c0,rxn05939_c0
rxn05744_c0,rxn05338_c0
rxn05744_c0,rxn05380_c0
rxn05744_c0,rxn05372_c0
rxn05744_c0,rxn08811_c0
rxn05744_c0,rxn08442_c0
rxn05744_c0,rxn00175_c0
rxn05744_c0,rxn02003_c0
rxn05744_c0,rxn05342_c0
rxn05744_c0,rxn00202_c0
rxn05744_c0,rxn00533_c0
rxn05744_c0,rxn00991_c0
rxn05744_c0,rxn05341_c0
rxn05744_c0,rxn02285_c0
rxn05744_c0,rxn05397_c0
rxn05744_c0,rxn05364_c0
rxn05744_c0,rxn05405_c0
rxn05744_c0,rxn08818_c0
rxn05744_c0,rxn08839_c0
rxn05744_c0,rxn08846_c0
rxn05744_c0,rxn08804_c0
rxn05744_c0,rxn08441_c0
rxn05744_c0,rxn03031_c0
rxn05744_c0,rxn00837_c0
rxn05744_c0,rxn08444_c0
rxn05744_c0,rxn00902_c0
rxn05744_c0,rxn03866_c0
rxn05744_c0,rxn02373_c0
rxn05744_c0,rxn03269_c0
rxn05744_c0,rxn02474_c0
rxn05744_c0,rxn01868_c0
rxn05744_c0,rxn08014_c0
rxn05744_c0,rxn02831_c0
rxn05744_c0,rxn05461_c0
rxn05744_c0,rxn21861_c0
rxn05744_c0,rxn03991_c0
rxn05744_c0,rxn05418_c0
rxn05744_c0,rxn00931_c0
rxn05744_c0,rxn00173_c0
