source,target
MAR06580,MAR03781
MAR06580,MAR06578
MAR06580,MAR02997
MAR06580,MAR12120
MAR06580,MAR12055
MAR06580,MAR03318
MAR05171,MAR05153
MAR05171,MAR05161
MAR05171,MAR05174
MAR05171,MAR05143
MAR05171,MAR05133
MAR05171,MAR05132
MAR05171,MAR05165
MAR05171,MAR05141
MAR05171,MAR05172
MAR05171,MAR05151
MAR05171,MAR05155
MAR05171,MAR05170
MAR05171,MAR05148
MAR05171,MAR05134
MAR05171,MAR05163
MAR05171,MAR05152
MAR05171,MAR05145
MAR05171,MAR05136
MAR05171,MAR05142
MAR05171,MAR05146
MAR05171,MAR05149
MAR05171,MAR05138
MAR05171,MAR05162
MAR05171,MAR05167
MAR05171,MAR05159
MAR05171,MAR05164
MAR05171,MAR05150
MAR05171,MAR05228
MAR05171,MAR05157
MAR05171,MAR05147
MAR05171,MAR05131
MAR05171,MAR05130
MAR05171,MAR05144
MAR05171,MAR05135
MAR05171,MAR07620
MAR05171,MAR05139
MAR05171,MAR05140
MAR05171,MAR05154
MAR05171,MAR05137
MAR05171,MAR05166
MAR05171,MAR09541
MAR05171,MAR05173
MAR05171,MAR05168
MAR05171,MAR05156
MAR05171,MAR05227
MAR08201,MAR08197
MAR08201,MAR00808
MAR08201,MAR00806
MAR08201,MAR08203
MAR08201,MAR08200
MAR00851,MAR00827
MAR00851,MAR00843
MAR00851,MAR00828
MAR00851,MAR00830
MAR00851,MAR00849
MAR00851,MAR00842
MAR00851,MAR00829
MAR00851,MAR00850
MAR11601,MAR11666
MAR05156,MAR05153
MAR05156,MAR05161
MAR05156,MAR05174
MAR05156,MAR05143
MAR05156,MAR05133
MAR05156,MAR05132
MAR05156,MAR05165
MAR05156,MAR05141
MAR05156,MAR05172
MAR05156,MAR05151
MAR05156,MAR05155
MAR05156,MAR05170
MAR05156,MAR05148
MAR05156,MAR05134
MAR05156,MAR05163
MAR05156,MAR05152
MAR05156,MAR05145
MAR05156,MAR05136
MAR05156,MAR05142
MAR05156,MAR05146
MAR05156,MAR05222
MAR05156,MAR05138
MAR05156,MAR05162
MAR05156,MAR05159
MAR05156,MAR05167
MAR05156,MAR05164
MAR05156,MAR05147
MAR05156,MAR05131
MAR05156,MAR05157
MAR05156,MAR05150
MAR05156,MAR05130
MAR05156,MAR05144
MAR05156,MAR05135
MAR05156,MAR07620
MAR05156,MAR05139
MAR05156,MAR05140
MAR05156,MAR05154
MAR05156,MAR05137
MAR05156,MAR05166
MAR05156,MAR09541
MAR05156,MAR05173
MAR05156,MAR05168
MAR06096,MAR06113
MAR06096,MAR06111
MAR06096,MAR06097
MAR06096,MAR06055
MAR06096,MAR06112
MAR06096,MAR06800
MAR00849,MAR00827
MAR00849,MAR00828
MAR00849,MAR00830
MAR00849,MAR00819
MAR00849,MAR00815
MAR00849,MAR00829
MAR00849,MAR00821
MAR00849,MAR00850
MAR00849,MAR00816
MAR06069,MAR06109
MAR06069,MAR01887
MAR06069,MAR06191
MAR06069,MAR01899
MAR06069,MAR05444
MAR06069,MAR06118
MAR06069,MAR06112
MAR06069,MAR01905
MAR06069,MAR06203
MAR06069,MAR06173
MAR06069,MAR06070
MAR06069,MAR06149
MAR06069,MAR01881
MAR06069,MAR02398
MAR06069,MAR06194
MAR06069,MAR06075
MAR06069,MAR06155
MAR06069,MAR06143
MAR06069,MAR06121
MAR06069,MAR06072
MAR06069,MAR06131
MAR06069,MAR06209
MAR06069,MAR06060
MAR06069,MAR06093
MAR06069,MAR02392
MAR06069,MAR01884
MAR06069,MAR06206
MAR06069,MAR01844
MAR06069,MAR06179
MAR06069,MAR10011
MAR06069,MAR06127
MAR06069,MAR06124
MAR06069,MAR06146
MAR06069,MAR06164
MAR06069,MAR06188
MAR06069,MAR06115
MAR06069,MAR10013
MAR06069,MAR01841
MAR06069,MAR10010
MAR06069,MAR06197
MAR06069,MAR06084
MAR06069,MAR06152
MAR06069,MAR06182
MAR06069,MAR06212
MAR06069,MAR06137
MAR06069,MAR06176
MAR06069,MAR06087
MAR06069,MAR06134
MAR06069,MAR01908
MAR06069,MAR06090
MAR06069,MAR06167
MAR06069,MAR06081
MAR06069,MAR01902
MAR06069,MAR06140
MAR06069,MAR06158
MAR06069,MAR06170
