reaction_id,category
MAR04152,Loop
MAR04454,Loop
MAR04458,Loop
MAR04465,Duplicate
MAR04589,Loop
MAR04652,Multiple
MAR08743,Multiple
MAR08779,Loop
MAR08782,Duplicate
MAR06911,Loop
MAR06914,Multiple
MAR06918,Dilution
MAR03982,Duplicate
MAR04767,Loop
MAR06608,Loop
MAR00156,Multiple
MAR00217,Multiple
MAR00267,Multiple
MAR00313,Multiple
MAR00349,Multiple
MAR00353,Multiple
MAR00361,Multiple
MAR00397,Multiple
MAR00401,Multiple
MAR00405,Multiple
MAR00409,Multiple
MAR02949,Multiple
MAR02952,Multiple
MAR02973,Multiple
MAR02981,Multiple
MAR02982,Multiple
MAR02984,Multiple
MAR02991,Multiple
MAR02992,Multiple
MAR02994,Multiple
MAR02996,Multiple
MAR02174,Multiple
MAR02286,Duplicate
MAR02294,Duplicate
MAR02359,Duplicate
MAR02437,Dead-End
MAR02438,Dead-End
MAR02443,Dilution
MAR02444,Dead-End
MAR02445,Dilution
MAR02446,Dilution
MAR02447,Dilution
MAR02449,Loop
MAR06397,Multiple
MAR06398,Dilution
MAR06399,Dilution
MAR06400,Dilution
MAR06401,Dilution
MAR06402,Dilution
MAR06403,Dilution
MAR06404,Dead-End
MAR02472,Duplicate
MAR02484,Duplicate
MAR02368,Duplicate
MAR02380,Duplicate
MAR03444,Multiple
MAR03445,Dead-End
MAR03446,Dead-End
MAR03447,Dead-End
MAR03448,Dead-End
MAR03449,Dead-End
MAR03450,Dead-End
MAR03459,Dead-End
MAR03460,Dead-End
MAR03461,Dead-End
MAR03462,Dead-End
MAR03463,Dead-End
MAR03464,Dead-End
MAR03466,Dead-End
MAR03467,Dead-End
MAR03468,Dead-End
MAR03469,Dead-End
MAR03470,Dead-End
MAR03471,Dead-End
MAR03472,Dead-End
MAR00942,Duplicate
MAR00943,Duplicate
MAR00946,Duplicate
MAR00947,Duplicate
MAR00950,Duplicate
MAR00951,Duplicate
MAR00954,Duplicate
MAR00955,Duplicate
MAR00979,Loop
MAR00988,Dead-End
MAR00989,Multiple
MAR00990,Multiple
MAR01101,Duplicate
MAR01102,Duplicate
MAR01105,Duplicate
MAR01106,Duplicate
MAR01150,Loop
MAR01151,Loop
MAR01152,Loop
MAR01158,Multiple
MAR01159,Multiple
MAR01160,Multiple
MAR01186,Loop
MAR01194,Loop
MAR01195,Loop
MAR01196,Loop
MAR01231,Loop
MAR01232,Loop
MAR01233,Loop
MAR01263,Multiple
MAR01264,Multiple
MAR01266,Multiple
MAR01280,Loop
MAR01281,Loop
MAR01282,Loop
MAR01285,Loop
MAR04796,Loop
MAR08547,Loop
MAR08549,Loop
MAR08559,Loop
MAR08560,Loop
MAR00159,Loop
MAR02591,Loop
MAR02608,Multiple
MAR02626,Loop
MAR02636,Loop
MAR02663,Loop
MAR02666,Loop
