reaction_id,gene_id
AB6PGH,b2716
AMALT1,b3416
AHGDx,b2913
MLTP2,b3417
TAURabcpp,b0365
TAURabcpp,b0366
TAURabcpp,b0367
THMDt2pp_copy1,b2964
THMDt2pp_copy1,b2393
3HCINNMH,b0347
BSORx,b3551
PACCOAL,b1398
GLUtex,b1377
GLUtex,b2215
GLUtex,b0929
GLUtex,b0241
Kt2pp,b1250
Kt2pp,b3290
Kt2pp,b3849
Kt2pp,b3747
Kt2pp,b1291
Kt2pp,b1363
GLYtex,b1377
GLYtex,b2215
GLYtex,b0929
GLYtex,b0241
GP4GH,b0049
GLYALDtex,b1377
GLYALDtex,b2215
GLYALDtex,b0929
GLYALDtex,b0241
AKGt2rpp,b2587
ACGAMT,b3784
XYLt2pp,b4031
GLYBtex,b1377
GLYBtex,b2215
GLYBtex,b0929
GLYBtex,b0241
GLYCtex,b1377
GLYCtex,b2215
GLYCtex,b0929
GLYCtex,b0241
GLYC3Ptex,b1377
GLYC3Ptex,b2215
GLYC3Ptex,b0929
GLYC3Ptex,b0241
GLYCLTtex,b1377
GLYCLTtex,b2215
GLYCLTtex,b0929
GLYCLTtex,b0241
GTPtex,b1377
GTPtex,b2215
GTPtex,b0929
GTPtex,b0241
GUAtex,b0411
Htex,b1377
Htex,b2215
Htex,b0929
Htex,b0241
H2tex,b1377
H2tex,b2215
H2tex,b0929
H2tex,b0241
H2Otex,b1319
H2Otex,b1377
H2Otex,b0241
H2Otex,s0001
H2Otex,b0957
H2Otex,b3875
H2Otex,b2215
H2Otex,b0929
AADDGT,b4481
FACOAL160t2pp,b1805
FACOAL160t2pp,b1701
FACOAL180t2pp,b1805
FACOAL180t2pp,b1701
SPODMpp,b1646
NO3R1bpp,b2203
NO3R1bpp,b2206
NO3R1bpp,b2205
NO3R1bpp,b2202
NO3R1bpp,b2204
O2tpp,s0001
PHYTSpp,b0980
PPTHpp,b0383
NO3R2pp,b1467
NO3R2pp,b1468
NO3R2pp,b1226
NO3R2pp,b1224
NO3R2pp,b1225
NO3R2pp,b1465
NO3R2pp,b1466
NO3R2pp,b1227
NTP3pp,b0980
NO3R2bpp,b2203
NO3R2bpp,b2206
NO3R2bpp,b2202
THMabcpp,b0066
THMabcpp,b0068
THMabcpp,b0067
THMDt2pp_copy2,b2406
THRabcpp,b3454
THRabcpp,b3456
THRabcpp,b3460
THRabcpp,b3455
THRabcpp,b3457
TREptspp,b2417
TREptspp,b4240
TREptspp,b2416
TREptspp,b2415
THD2pp,b1603
THD2pp,b1602
TMAOR1pp,b0997
TMAOR1pp,b1872
TMAOR1pp,b0996
TMAOR1pp,b1873
TMAOR2pp,b0997
TMAOR2pp,b1872
TMAOR2pp,b0996
TMAOR2pp,b1873
DAPtex,b1377
DAPtex,b2215
DAPtex,b0929
DAPtex,b0241
TRPt2rpp,b0112
TRPt2rpp,b3161
TRPt2rpp,b3709
TYRt2rpp,b1907
TYRt2rpp,b0112
URIt2pp_copy1,b2964
URIt2pp_copy1,b2393
URIt2pp_copy2,b2406
VALabcpp,b3454
VALabcpp,b3456
VALabcpp,b3460
VALabcpp,b3455
VALabcpp,b3457
12PPDStex,b1377
12PPDStex,b2215
12PPDStex,b0929
12PPDStex,b0241
DDGLCNtex,b1377
DDGLCNtex,b2215
DDGLCNtex,b0929
DDGLCNtex,b0241
XTSNt2rpp,b2406
XYLabcpp,b3567
XYLabcpp,b3566
XYLabcpp,b3568
GMHEPK,b3052
XYLUt2pp,b3579
XYLUt2pp,b3578
XYLUt2pp,b3577
THRt4pp,b3089
GALURtex,b1377
GALURtex,b2215
GALURtex,b0929
GALURtex,b0241
GTPCI,b2153
FDMO,b0935
FEOXAMabcpp,b0151
FEOXAMabcpp,b0152
FEOXAMabcpp,b0153
GALtex,b1377
GALtex,b2215
GALtex,b0929
GALtex,b0241
CBL1abcpp,b1711
CBL1abcpp,b0158
CBL1abcpp,b1709
ACACt2pp,b2223
ACGAptspp,b2417
ACGAptspp,b2415
ACGAptspp,b0679
ACGAptspp,b2416
ACGAptspp,b1101
ACMANAptspp,b1819
ACMANAptspp,b2415
ACMANAptspp,b1818
ACMANAptspp,b2416
ACMANAptspp,b1817
ACNAMt2pp,b3224
GALCTtex,b1377
GALCTtex,b2215
GALCTtex,b0929
GALCTtex,b0241
GALCTNtex,b1377
GALCTNtex,b2215
GALCTNtex,b0929
GALCTNtex,b0241
GALTtex,b1377
GALTtex,b2215
GALTtex,b0929
GALTtex,b0241
CHOLD,b0311
TRE6PS,b1896
DRPA,b4381
TKT2,b2465
TKT2,b2935
UDCPDP,b3057
UDCPDP,b1278
UDCPDP,b0841
FEENTERabcpp,b0588
FEENTERabcpp,b0589
FEENTERabcpp,b0592
FEENTERabcpp,b0590
FECRMabcpp,b0151
FECRMabcpp,b0152
FECRMabcpp,b0153
TREH,b3519
GAMtex,b1377
GAMtex,b2215
GAMtex,b0929
GAMtex,b0241
GBBTNtex,b1377
GBBTNtex,b2215
GBBTNtex,b0929
GBBTNtex,b0241
ATPS4rpp,b3739
ATPS4rpp,b3735
ATPS4rpp,b3733
ATPS4rpp,b3734
ATPS4rpp,b3737
ATPS4rpp,b3736
ATPS4rpp,b3738
ATPS4rpp,b3731
ATPS4rpp,b3732
INDOLEtex,b1377
INDOLEtex,b2215
INDOLEtex,b0929
INDOLEtex,b0241
ARBt2rpp,b2841
CYTK1,b0910
L_LACtex,b1377
L_LACtex,b2215
L_LACtex,b0929
L_LACtex,b0241
ACt4pp,b4067
ADEt2rpp,b3714
ADEt2rpp,b3664
ADEt2rpp,b3654
CO2tpp,s0001
