reaction_id,category
EX_galur_e,Dead-End
PPAKr,Loop
TAUDO,Dead-End
DM_amob_c,Dead-End
MOAT2,Dilution
ME2,Duplicate
ACOATA,Dilution
EX_but_e,Dead-End
MLTP3,Dilution
EX_ocdca_e,Dead-End
EX_cbl1_e,Dead-End
SPODM,Duplicate
ACNML,Dead-End
TMK,Dead-End
CAT,Duplicate
EX_nac_e,Dead-End
UDPGD,Dead-End
GLCRD,Dead-End
PPPNDO,Dead-End
26DAHtex,Dead-End
HCINNMtex,Dead-End
HPPPNtex,Dead-End
TDPAGTA,Dilution
UACMAMO,Dilution
ACMANAtex,Dead-End
ACMUMtex,Dead-End
ADK3,Loop
BSORy,Multiple
DMSOR2,Dead-End
ADSK,Dilution
SUCCt2_2pp,Duplicate
SUCFUMtpp,Loop
ACMAMUT,Dilution
SSALy,Duplicate
SUCptspp,Dead-End
SULabcpp,Dilution
TSULabcpp,Dead-End
TARTRt7pp,Dead-End
EX_dad_2_e,Dead-End
EX_ser__D_e,Dead-End
DDGALK,Dead-End
EX_gam6p_e,Dead-End
AB6PGH,Dead-End
EX_ocdcea_e,Dead-End
EX_cynt_e,Dead-End
EX_galctn__D_e,Dead-End
AHGDx,Duplicate
MLTP2,Dilution
TAURabcpp,Dead-End
THMDt2pp_copy1,Multiple
3HCINNMH,Dead-End
BSORx,Multiple
PACCOAL,Dilution
NMNt7pp,Dead-End
EX_so3_e,Dead-End
Kt2pp,Duplicate
ACGAMT,Dilution
XYLt2pp,Dead-End
EX_ascb__L_e,Dead-End
GTPtex,Dead-End
EX_ala_B_e,Dead-End
EX_minohp_e,Dead-End
EX_ppt_e,Dead-End
AADDGT,Dilution
SPODMpp,Dead-End
EX_lyx__L_e,Dead-End
EX_acmum_e,Dead-End
EX_dca_e,Dead-End
EX_all__D_e,Dead-End
NO3R1bpp,Multiple
EX_octa_e,Dead-End
PHYTSpp,Dead-End
EX_gbbtn_e,Dead-End
PPTHpp,Dead-End
NO3R2pp,Multiple
EX_xylu__L_e,Dead-End
EX_gdp_e,Dead-End
EX_gtp_e,Dead-End
NTP3pp,Dead-End
NO3R2bpp,Multiple
THMabcpp,Dead-End
THMDt2pp_copy2,Multiple
TREptspp,Dead-End
TMAOR1pp,Dead-End
TMAOR2pp,Dead-End
EX_tma_e,Dead-End
URIt2pp_copy1,Multiple
URIt2pp_copy2,Multiple
DDGLCNtex,Dead-End
XYLabcpp,Dead-End
GMHEPK,Dilution
XYLUt2pp,Dead-End
GALURtex,Dead-End
FDMO,Dead-End
FEOXAMabcpp,Dilution
EX_fruur_e,Dead-End
CBL1abcpp,Dead-End
EX_malttr_e,Dead-End
ACACt2pp,Dead-End
ACGAptspp,Dead-End
ACMANAptspp,Dead-End
ACNAMt2pp,Dead-End
GALCTtex,Dead-End
GALCTNtex,Dead-End
GALTtex,Dead-End
EX_cbi_e,Dead-End
EX_ch4_e,Dead-End
EX_adocbl_e,Dead-End
FECRMabcpp,Dilution
GAMtex,Dead-End
GBBTNtex,Dead-End
ARBt2rpp,Multiple
DAPabcpp,Dead-End
ACt4pp,Loop
DMSOR1pp,Dead-End
ADNt2pp_copy1,Multiple
ADNt2pp_copy2,Multiple
ALLabcpp,Dead-End
ARBabcpp,Dilution
ASCBptspp,Dead-End
ASPt2pp,Duplicate
ASPt2_2pp,Duplicate
HYD2pp,Duplicate
NACtpp,Dead-End
ASPt2_3pp,Duplicate
INSTtex,Dead-End
CPGNtonex,Dilution
GLCRtex,Dead-End
GLCURtex,Dead-End
GLNtex,Dead-End
EX_ppa_e,Dead-End
OCTAtex,Dead-End
NTD8pp,Dead-End
FRULYStex,Dead-End
MALTtexi,Dead-End
CRNt7pp,Dead-End
GLCtex_copy1,Multiple
EX_no_e,Dead-End
CHLabcpp,Dilution
DGSNt2pp,Dead-End
DINSt2pp,Dead-End
DURIt2pp,Dead-End
FRUptspp,Dead-End
FUCtpp,Dead-End
GALCTt2rpp,Dead-End
ABUTt2pp,Loop
FUMt2_2pp,Duplicate
FUMt2_3pp,Duplicate
CSNt2pp,Dead-End
