source,target
PDX5PO2,PDXPP
PDX5PO2,PYDXNK
PDX5PO2,PYAM5PO
PDX5PO2,ALATA_D2
PDX5PO2,ALATA_L2
MINCYCtex,MINCYCtpp
NO2t2rpp,NO3t7pp
NO2t2rpp,NO3R1bpp
NO2t2rpp,NTRIR3pp
NO2t2rpp,NO3R1pp
NO2t2rpp,NTRIR4pp
NO2t2rpp,NO3R2bpp
NO2t2rpp,NO2tex
NO2t2rpp,NO3R2pp
NO2t2rpp,NTRIR2x
EX_inost_e,INSTtex
NTRIR3pp,NO3t7pp
NTRIR3pp,NO3R1bpp
NTRIR3pp,NTRIR4pp
NTRIR3pp,NO3R2bpp
NTRIR3pp,NO2tex
HPPPNtex,EX_3hpppn_e
HPPPNtex,HPPPNt2rpp
AGPAT160,AACPS2
AGPAT160,G3PAT120
AGPAT160,EAR160x
AGPAT160,AGPAT181
AGPAT160,G3PAT141
AGPAT160,3OAS140
AGPAT160,AACPS8
AGPAT160,G3PAT160
AGPAT160,AACPS6
AGPAT160,ACPPAT181
AGPAT160,AGPAT140
AGPAT160,AACPS3
AGPAT160,EDTXS2
AGPAT160,FA161ACPHi
AGPAT160,G3PAT161
AGPAT160,3OAS80
AGPAT160,APG3PAT160
AGPAT160,3OAS100
AGPAT160,FA80ACPHi
AGPAT160,U23GAAT
AGPAT160,ACPPAT141
AGPAT160,ACPPAT161
AGPAT160,MCOATA
AGPAT160,3OAS141
AGPAT160,LIPOCT
AGPAT160,AACPS1
AGPAT160,G3PAT180
AGPAT160,FA140ACPHi
AGPAT160,EDTXS4
AGPAT160,3OAS121
AGPAT160,AACPS7
AGPAT160,EDTXS3
AGPAT160,AGPAT161
AGPAT160,EDTXS1
AGPAT160,G3PAT140
AGPAT160,UAGAAT
AGPAT160,AACPS5
AGPAT160,ACPS1
AGPAT160,KAS14
AGPAT160,OPMEACPS
AGPAT160,EAR160y
AGPAT160,FA120ACPHi
AGPAT160,FA100ACPHi
AGPAT160,AOXSr2
AGPAT160,3OAS160
AGPAT160,FA160ACPHi
AGPAT160,AGPAT120
AGPAT160,G3PAT181
AGPAT160,3OAS181
AGPAT160,AGPAT180
AGPAT160,ACPPAT160
AGPAT160,3OAS120
AGPAT160,AACPS9
AGPAT160,AACPS4
AGPAT160,ACPPAT140
AGPAT160,AGPAT141
AGPAT160,FA141ACPHi
AGPAT160,3OAS161
AGPAT160,ACPPAT180
MEPNabcpp,ARMEPNS
MEPNabcpp,MEPNtex
CYSSADS,SO2tpp
CRNDabcpp,CRNDt2rpp
CRNDabcpp,CRNt8pp
EAR100y,FA100ACPHi
EAR100y,T2DECAI
EAR100y,AACPS8
EAR100y,3OAS120
EAR100y,EAR100x
EAR100y,3HAD100
SFGTHi,FALDH2
UACGAMtex,EX_uacgam_e
UACGAMtex,UACGAMPpp
3OAS100,AACPS2
3OAS100,G3PAT120
3OAS100,AGPAT181
3OAS100,G3PAT141
3OAS100,3OAS140
3OAS100,AACPS8
3OAS100,G3PAT160
3OAS100,AACPS6
3OAS100,ACPPAT181
3OAS100,AGPAT140
3OAS100,AACPS3
3OAS100,EDTXS2
3OAS100,FA161ACPHi
3OAS100,3OAS80
3OAS100,G3PAT161
3OAS100,FA80ACPHi
3OAS100,U23GAAT
3OAS100,KAS15
3OAS100,ACPPAT141
3OAS100,ACPPAT161
3OAS100,MCOATA
3OAS100,3OAS141
3OAS100,LIPOCT
3OAS100,AACPS1
3OAS100,EAR80x
3OAS100,G3PAT180
3OAS100,FA140ACPHi
3OAS100,EDTXS4
3OAS100,3OAS121
3OAS100,FA160ACPHi
3OAS100,AACPS7
3OAS100,EDTXS3
3OAS100,AGPAT161
3OAS100,EDTXS1
3OAS100,EAR80y
3OAS100,G3PAT140
3OAS100,OGMEACPS
3OAS100,UAGAAT
3OAS100,AACPS5
3OAS100,ACPS1
